Grupo,C�digo de barras,Art�culo,deposito 1,deposito 2,deposito 3,deposito 4,deposito 5
AMOBLAMIENTO,AMLM-AM-U61-B,BANQUETA TAPIZADA COST BCO  BASE PINTADA NEGRO,,,1,,
,AMLM-MD-B53-B,BANQUETA LAQUEADA BASE PINTADA AS/RS BLANCA,,,2,,
,AMLM-VT J02 A,R- SILLA 4 PATAS DE MADERA TOR TAPIZ SHOT NICKEL,10,,6,,
ANAFES ORMAY,ORANAFE-065120,ANAFE VITROCERAMICO VITRO COOK 4,,,,1,
,"MACC-PISOAL-0.80",PISO DE ALUMINIO DE 80 CM,3,,,,
,DD-REPOIMP 27,"SIFON BOTELLA 1-1/4"" C/ CORRUGADO",4,2,3,,
